par_cz,kid_race,par_pctile,shrunk_income_resid_2020,cz_name
21702,Pooled,50,-.1066318828025323,Austin
21702,Hispanic,50,-.0073703468846664,Austin
21702,Hispanic,75,-.0455509677419355,Austin
21801,Pooled,-9,-.08480257346586,Mason City
21801,Black,25,.1047,Mason City
21801,White,75,-.1185976,Mason City
21801,Black,-9,.060255,Mason City
21801,White,25,-.0511321645021645,Mason City
21801,Asian,25,-.18325,Mason City
21801,Black,75,.01581,Mason City
21801,Pooled,75,-.1153910091393755,Mason City
21801,Pooled,25,-.0446800799200799,Mason City
21801,Hispanic,25,.0870898113207547,Mason City
21801,Hispanic,-9,.0330596195652174,Mason City
21801,Hispanic,75,-.0403660256410256,Mason City
21801,Hispanic,50,.0233618928398645,Mason City
21801,Asian,-9,-.1483,Mason City
21801,Pooled,50,-.0800355445297277,Mason City
21801,White,50,-.0848648822510823,Mason City
21801,Asian,75,-.11335,Mason City
21801,Asian,50,-.1483,Mason City
21801,Black,50,.060255,Mason City
21801,White,-9,-.0899232382704692,Mason City
21802,Hispanic,75,.02841,Decorah
21802,Black,25,.08214,Decorah
21802,Hispanic,-9,.05927,Decorah
21802,Asian,-9,-.146,Decorah
21802,Black,75,.05163,Decorah
21802,White,25,-.0903175362318841,Decorah
21802,Pooled,25,-.0860798617511521,Decorah
21802,Hispanic,50,.05927,Decorah
21802,Pooled,-9,-.1136046137566138,Decorah
21802,Asian,25,-.1271,Decorah
21802,Pooled,50,-.1115308310712708,Decorah
21802,Asian,50,-.146,Decorah
21802,White,75,-.1407582484725051,Decorah
21802,Pooled,75,-.1369818003913895,Decorah
21802,White,-9,-.1176837127071823,Decorah
21802,Black,50,.066885,Decorah
21802,White,50,-.1155378923521946,Decorah
21802,Asian,75,-.1649,Decorah
21802,Hispanic,25,.09013,Decorah
21802,Black,-9,.066885,Decorah
21900,Black,25,.15655,Marshalltown
21900,Black,75,.19075,Marshalltown
21900,Asian,-9,-.09844875,Marshalltown
21900,White,25,.0068483590733591,Marshalltown
21900,Black,50,.17365,Marshalltown
21900,Pooled,75,-.0974864728056004,Marshalltown
21900,White,-9,-.0616989231873654,Marshalltown
21900,Black,-9,.17365,Marshalltown
21900,Hispanic,75,-.0890175609756098,Marshalltown
21900,Hispanic,-9,.0157063611111111,Marshalltown
21900,White,75,-.1022789142857143,Marshalltown
21900,Pooled,25,.0124250755186722,Marshalltown
21900,AIAN,-9,.1198677777777778,Marshalltown
