par_cz,kid_race,par_pctile,shrunk_xkid_auabalance2020,cz_name
1301,Asian,75,7528.5,Bennettsville
1301,White,-9,7142.647482014389,Bennettsville
1302,AIAN,75,5362.538333333333,Florence
1302,AIAN,50,5252.8525,Florence
1302,Pooled,-9,7361.957635021806,Florence
1302,Black,-9,6337.097489539749,Florence
1302,Pooled,50,7684.020572103771,Florence
1302,Asian,75,7674.094339622641,Florence
1302,White,25,7294.799881586738,Florence
1302,Black,75,7841.957894736842,Florence
1302,Asian,-9,7646.632075471698,Florence
1302,Black,25,6133.351543942993,Florence
1302,Hispanic,75,7913.513513513513,Florence
1302,Black,50,6987.654719339917,Florence
1302,Pooled,75,8716.90880818913,Florence
1302,White,75,8947.53782013103,Florence
1302,Pooled,25,6651.132336018412,Florence
1302,Asian,25,7619.169811320755,Florence
1302,Hispanic,50,7383.173423423423,Florence
1302,AIAN,25,5143.166666666667,Florence
1302,Hispanic,25,6852.833333333333,Florence
1302,White,-9,8118.71526128266,Florence
1302,Hispanic,-9,7233.854368932039,Florence
1302,White,50,8121.168850858884,Florence
1302,Asian,50,7646.632075471698,Florence
1302,AIAN,-9,5252.8525,Florence
1400,AIAN,75,10746.90909090909,Fayetteville
1400,Asian,50,8443.137254901962,Fayetteville
1400,White,75,10548.26825127334,Fayetteville
1400,Asian,25,8462.333333333334,Fayetteville
1400,AIAN,25,8038.322946175637,Fayetteville
1400,Black,50,8625.403919025288,Fayetteville
1400,Hispanic,50,9878.953432431746,Fayetteville
1400,Asian,75,8423.941176470587,Fayetteville
1400,Black,25,7674.027071954405,Fayetteville
1400,Pooled,25,8308.54090955754,Fayetteville
1400,Hispanic,75,10348.80995475113,Fayetteville
1400,White,25,8827.482584553256,Fayetteville
1400,Pooled,75,10321.84948790263,Fayetteville
1400,Pooled,-9,9131.67841971113,Fayetteville
1400,Black,75,9576.78076609617,Fayetteville
1400,Hispanic,-9,9769.021663778163,Fayetteville
1400,Hispanic,25,9409.096910112359,Fayetteville
1400,Black,-9,8103.353806546525,Fayetteville
1400,AIAN,50,9392.616018542363,Fayetteville
1400,Pooled,50,9315.195198730084,Fayetteville
1400,AIAN,-9,8681.831533477322,Fayetteville
1400,White,-9,9762.269541157482,Fayetteville
1400,White,50,9687.875417913299,Fayetteville
1400,Asian,-9,8444.076923076924,Fayetteville
1500,Pooled,50,8458.837768268571,Wilmington
1500,Asian,50,7910.222222222223,Wilmington
1500,AIAN,-9,8027.743243243243,Wilmington
1500,White,75,9347.196048632219,Wilmington
1500,Asian,75,7886.555555555556,Wilmington
1500,Black,50,7756.08972606341,Wilmington
1500,Pooled,-9,8381.226345357776,Wilmington
1500,AIAN,50,8027.743243243243,Wilmington
1500,White,-9,8784.141094199918,Wilmington
1500,Black,75,8557.713286713286,Wilmington
1500,Hispanic,50,8111.880151387721,Wilmington
1500,Pooled,25,7670.604037685061,Wilmington
1500,Black,-9,7238.209158415842,Wilmington
1500,White,25,8119.584753363229,Wilmington
1500,Hispanic,75,8698.431034482759,Wilmington
1500,AIAN,25,6418.459459459459,Wilmington
1500,AIAN,75,9637.027027027027,Wilmington
1500,Black,25,6954.466165413533,Wilmington
1500,Hispanic,25,7525.329268292683,Wilmington
1500,Asian,-9,7910.222222222223,Wilmington
1500,Pooled,75,9247.071498852083,Wilmington
1500,Hispanic,-9,8011.328571428571,Wilmington
1500,White,50,8733.390400997723,Wilmington
1500,Asian,25,7933.888888888889,Wilmington
1600,Asian,75,7846.333333333333,Wilson
1600,AIAN,50,8472.5,Wilson
1600,Hispanic,25,8527.022222222222,Wilson
1600,Black,75,9086.714285714286,Wilson
1600,Asian,50,7786,Wilson
1600,White,75,10771.5,Wilson
1600,AIAN,-9,8472.5,Wilson
1600,White,25,8933.010416666666,Wilson
1600,Black,25,6817.809278350515,Wilson
1600,Asian,-9,7786,Wilson
1600,Pooled,25,7540.121132323898,Wilson
1600,Hispanic,75,9063.684210526315,Wilson
1600,Hispanic,-9,8686.34375,Wilson
1600,Pooled,75,10395.73158914729,Wilson
1600,Black,-9,7187.803278688524,Wilson
1600,AIAN,25,6325,Wilson
1600,AIAN,75,10620,Wilson
1600,Asian,25,7725.666666666667,Wilson
1600,White,50,9852.255208333332,Wilson
1600,Black,50,7952.261782032401,Wilson
1600,Pooled,-9,8695.350450803606,Wilson
1600,Pooled,50,8967.926360735592,Wilson
1600,White,-9,10082.06640625,Wilson
1600,Hispanic,50,8795.353216374268,Wilson
1701,Black,25,6704.108035371011,Raleigh
1701,Hispanic,-9,8174.334805653711,Raleigh
1701,Asian,25,6833.514705882353,Raleigh
1701,AIAN,75,9138.558441558442,Raleigh
1701,Pooled,25,7480.533135264504,Raleigh
1701,Black,-9,7176.297981234006,Raleigh
1701,AIAN,50,8909.246753246753,Raleigh
1701,Pooled,75,8859.116205391834,Raleigh
1701,Pooled,50,8169.824670328169,Raleigh
1701,AIAN,25,8679.935064935065,Raleigh
1701,White,75,8979.047482837528,Raleigh
1701,White,25,8113.317031463748,Raleigh
1701,White,-9,8723.763513513513,Raleigh
1701,Black,75,8517.090611353711,Raleigh
1701,Pooled,-9,8280.031026832143,Raleigh
1701,Asian,75,6810.260663507109,Raleigh
1701,Black,50,7610.599323362361,Raleigh
1701,AIAN,-9,8909.246753246753,Raleigh
1701,Asian,-9,6819.374639769452,Raleigh
1701,Hispanic,50,8213.233959737867,Raleigh
1701,White,50,8546.182257150638,Raleigh
1701,Asian,50,6821.887684694731,Raleigh
1701,Hispanic,75,8358.082125603865,Raleigh
1701,Hispanic,25,8068.385793871867,Raleigh
1702,AIAN,25,6125,Henderson
1702,Black,-9,7255.898148148148,Henderson
1702,AIAN,50,8262.5,Henderson
1702,Asian,75,7849,Henderson
1702,AIAN,75,10400,Henderson
1702,AIAN,-9,8262.5,Henderson
1702,White,-9,9461.552941176471,Henderson
1702,Black,25,7072.529411764706,Henderson
1702,Hispanic,-9,6850,Henderson
1702,Hispanic,25,6395,Henderson
1702,Pooled,-9,8188.410801963993,Henderson
1702,Pooled,75,10083.69142857143,Henderson
1702,Pooled,25,7427.690366972477,Henderson
1702,Asian,-9,7976.5,Henderson
1702,Asian,50,7976.5,Henderson
1702,White,50,9494.524870721496,Henderson
1702,Pooled,50,8755.690897771952,Henderson
1702,White,25,8293.404580152672,Henderson
1702,Hispanic,75,7305,Henderson
1702,White,75,10695.64516129032,Henderson
1702,Black,50,7921.264705882353,Henderson
1702,Asian,25,8104,Henderson
1702,Hispanic,50,6850,Henderson
1702,Black,75,8770,Henderson
1800,Asian,75,7309.645161290323,Goldsboro
1800,White,-9,10393.7789904502,Goldsboro
1800,Black,25,7487.295774647887,Goldsboro
1800,Asian,25,7187.272727272727,Goldsboro
1800,Hispanic,-9,9497.973282442748,Goldsboro
1800,Pooled,75,10867.831043257,Goldsboro
1800,Black,50,8474.458601609658,Goldsboro
1800,Hispanic,25,9120.174358974358,Goldsboro
1800,Black,75,9461.621428571429,Goldsboro
1800,Asian,-9,7246.546875,Goldsboro
1800,White,75,11155.68501920615,Goldsboro
1800,AIAN,50,10739.94,Goldsboro
1800,Hispanic,50,9858.855836203598,Goldsboro
1800,Pooled,-9,9490.715782983971,Goldsboro
1800,Pooled,25,8557.923129955188,Goldsboro
1800,Black,-9,7842.116816431322,Goldsboro
1800,AIAN,25,7711.08,Goldsboro
1800,Pooled,50,9712.877086606093,Goldsboro
1800,AIAN,75,13768.8,Goldsboro
1800,Hispanic,75,10597.53731343284,Goldsboro
1800,White,50,10340.38995485855,Goldsboro
1800,Asian,50,7248.458944281525,Goldsboro
1800,AIAN,-9,10739.94,Goldsboro
1800,White,25,9525.094890510949,Goldsboro
1900,Black,25,7110.826597582038,Jacksonville
1900,Hispanic,25,8257.923076923076,Jacksonville
1900,Hispanic,75,9502.190476190477,Jacksonville
1900,Asian,50,9384.123913043477,Jacksonville
1900,White,25,8895.03779527559,Jacksonville
1900,AIAN,25,7296.047619047619,Jacksonville
1900,Black,75,9281.199478487613,Jacksonville
1900,Pooled,25,8144.055272226051,Jacksonville
1900,Black,-9,7565.407700709995,Jacksonville
1900,Hispanic,50,8880.056776556776,Jacksonville
1900,AIAN,75,8569.047619047618,Jacksonville
1900,Asian,75,9339.4,Jacksonville
1900,White,-9,9765.342406221409,Jacksonville
1900,Asian,-9,9387.244186046511,Jacksonville
1900,Asian,25,9428.847826086956,Jacksonville
1900,Pooled,75,10220.27726009482,Jacksonville
1900,White,75,10437.38548844751,Jacksonville
1900,Pooled,-9,9093.819697876159,Jacksonville
1900,Hispanic,-9,8773.154929577464,Jacksonville
1900,White,50,9666.211641861548,Jacksonville
1900,Pooled,50,9182.166266160435,Jacksonville
1900,Black,50,8196.013038034826,Jacksonville
1900,AIAN,50,7932.547619047618,Jacksonville
1900,AIAN,-9,7932.547619047619,Jacksonville
2000,Hispanic,-9,8094.15523465704,Virginia Beach
2000,White,75,9052.491467576792,Virginia Beach
2000,Black,50,7286.336840044635,Virginia Beach
2000,Asian,75,8482.768802228413,Virginia Beach
2000,Pooled,25,7128.076307692308,Virginia Beach
2000,Pooled,50,8020.334964815997,Virginia Beach
2000,White,25,7775.784763948498,Virginia Beach
2000,AIAN,-9,10103.10588235294,Virginia Beach
2000,AIAN,75,12052.39743589744,Virginia Beach
2000,AIAN,25,8450.445652173914,Virginia Beach
2000,White,50,8414.138115762646,Virginia Beach
2000,Black,75,8291.875694444445,Virginia Beach
2000,Black,25,6280.797985644826,Virginia Beach
2000,White,-9,8556.083187317479,Virginia Beach
2000,Hispanic,25,7694.440251572327,Virginia Beach
2000,AIAN,50,10251.42154403567,Virginia Beach
2000,Pooled,-9,8009.544687808169,Virginia Beach
2000,Asian,-9,8440.141680395387,Virginia Beach
2000,Hispanic,50,8163.597244430232,Virginia Beach
2000,Asian,50,8430.602143049691,Virginia Beach
2000,Asian,25,8378.435483870968,Virginia Beach
2000,Black,-9,6783.654714360132,Virginia Beach
2000,Hispanic,75,8632.754237288136,Virginia Beach
2000,Pooled,75,8912.593621939686,Virginia Beach
2100,Asian,75,8686.5,Washington
2100,Pooled,-9,8919.513435700575,Washington
2100,Black,-9,7201.705882352941,Washington
2100,Pooled,25,7837.015261044176,Washington
2100,Asian,-9,8801.5,Washington
2100,Black,25,6966.655052264809,Washington
2100,Hispanic,50,9721.487804878048,Washington
2100,White,-9,9776.973643410853,Washington
2100,Pooled,50,9181.428965444615,Washington
2100,Black,75,8474.528301886792,Washington
2100,Asian,50,8801.5,Washington
2100,Black,50,7720.5916770758,Washington
2100,Hispanic,75,11093.90243902439,Washington
2100,Asian,25,8916.5,Washington
2100,Hispanic,-9,9721.487804878048,Washington
2100,Pooled,75,10525.84266984505,Washington
2100,White,75,10856.5798816568,Washington
2100,White,50,9722.465836593874,Washington
2100,Hispanic,25,8349.073170731708,Washington
2100,White,25,8588.351791530944,Washington
2200,Black,25,6613.915461624027,South Boston
2200,Asian,75,6292,South Boston
2200,Black,75,9053.464864864865,South Boston
2200,White,-9,9204.798780487805,South Boston
2200,Pooled,75,9665.783975659229,South Boston
2200,Pooled,25,7329.644,South Boston
2200,Hispanic,75,6296.125,South Boston
2200,Hispanic,-9,6633.4375,South Boston
2200,Hispanic,50,6633.4375,South Boston
2200,White,75,10240.69004207574,South Boston
2200,Pooled,-9,8171.542397660819,South Boston
2200,White,50,9238.740171758705,South Boston
2200,Asian,25,6257,South Boston
2200,Black,-9,7030.259225092251,South Boston
2200,Pooled,50,8497.713987829615,South Boston
2200,White,25,8236.790301441677,South Boston
2200,Asian,50,6274.5,South Boston
2200,Asian,-9,6274.5,South Boston
2200,Black,50,7833.690163244446,South Boston
2200,Hispanic,25,6970.75,South Boston
2300,Black,50,6735.686864633493,Lynchburg
2300,Asian,25,7033.428571428572,Lynchburg
2300,White,75,8609.141886151232,Lynchburg
2300,Hispanic,75,9015.684210526315,Lynchburg
2300,Pooled,75,8515.87326007326,Lynchburg
2300,Black,25,5680.921348314607,Lynchburg
2300,Asian,50,6947.885714285714,Lynchburg
2300,Black,75,7790.452380952381,Lynchburg
2300,Pooled,-9,7696.997457958545,Lynchburg
2300,Hispanic,50,8004.687559808612,Lynchburg
2300,AIAN,25,4971.5,Lynchburg
2300,White,25,7277.021935483871,Lynchburg
2300,AIAN,75,8285.75,Lynchburg
