par_cz,kid_race,par_pctile,shrunk_xkid_mtabalance2020,cz_name
25701,Asian,75,142300,Cape Girardeau
25701,AIAN,50,38041.66666666666,Cape Girardeau
25701,Hispanic,-9,53092.5,Cape Girardeau
25701,White,75,93410.57344064386,Cape Girardeau
25701,Pooled,50,65597.29956436777,Cape Girardeau
25701,Pooled,25,40187.76827371695,Cape Girardeau
25701,Pooled,75,91006.83085501858,Cape Girardeau
25701,Hispanic,25,32135,Cape Girardeau
25702,Black,50,24170,Poplar Bluff
25702,AIAN,25,22560,Poplar Bluff
25702,Hispanic,75,67200,Poplar Bluff
25702,AIAN,50,25675,Poplar Bluff
25702,AIAN,75,28790,Poplar Bluff
25702,White,75,82016.42553191489,Poplar Bluff
25702,White,50,61441.20367504835,Poplar Bluff
25702,Hispanic,50,54061.66666666667,Poplar Bluff
25702,Asian,-9,83120,Poplar Bluff
25702,Black,-9,23739.48717948718,Poplar Bluff
25702,Black,25,23440,Poplar Bluff
25702,Hispanic,-9,54061.66666666666,Poplar Bluff
25702,Pooled,75,79010.72243346008,Poplar Bluff
25702,Pooled,-9,51902.58101851852,Poplar Bluff
25702,White,-9,53184.90445859873,Poplar Bluff
25702,Asian,25,69940,Poplar Bluff
25702,Pooled,25,40039.95008319468,Poplar Bluff
25702,Asian,50,83120,Poplar Bluff
25702,AIAN,-9,25675,Poplar Bluff
25702,Hispanic,25,40923.33333333334,Poplar Bluff
25702,Asian,75,96300,Poplar Bluff
25702,Pooled,50,59525.33625832738,Poplar Bluff
25702,Black,75,24900,Poplar Bluff
25702,White,25,40865.98181818182,Poplar Bluff
25800,Hispanic,50,49838.07843137255,Blytheville
25800,AIAN,75,188800,Blytheville
25800,AIAN,25,-2490,Blytheville
25800,Pooled,50,52200.30950922929,Blytheville
25800,Hispanic,25,32188.82352941177,Blytheville
25800,White,75,81057.13917525773,Blytheville
25800,Black,-9,18074.99523809524,Blytheville
25800,Pooled,25,26468.35814889336,Blytheville
25800,White,50,56979.41704525598,Blytheville
25800,Black,75,41664,Blytheville
25800,Pooled,-9,42749.92297111417,Blytheville
25800,AIAN,50,93155,Blytheville
25800,Asian,75,94535,Blytheville
25800,Asian,25,80460,Blytheville
25800,Black,25,15244.31466666667,Blytheville
25800,Pooled,75,77932.26086956522,Blytheville
25800,AIAN,-9,93155,Blytheville
25800,White,25,32901.69491525424,Blytheville
25800,Asian,-9,87497.5,Blytheville
25800,Asian,50,87497.5,Blytheville
25800,Black,50,28454.15733333333,Blytheville
25800,White,-9,52006.30879345603,Blytheville
25800,Hispanic,75,67487.33333333333,Blytheville
25800,Hispanic,-9,48735,Blytheville
25900,AIAN,75,83540,Jonesboro
25900,Hispanic,-9,45820.54545454546,Jonesboro
25900,White,25,39189.34693877551,Jonesboro
25900,White,-9,56182.5406504065,Jonesboro
25900,Asian,50,122400,Jonesboro
25900,White,50,61694.46485565962,Jonesboro
25900,Black,50,33175.70833333334,Jonesboro
25900,Pooled,50,60009.58092501279,Jonesboro
25900,Black,75,46778.75,Jonesboro
25900,Asian,25,109000,Jonesboro
25900,Black,25,19572.66666666667,Jonesboro
25900,Pooled,25,37872.3598820059,Jonesboro
25900,Black,-9,26708.68852459016,Jonesboro
25900,AIAN,25,18365,Jonesboro
25900,Asian,-9,122400,Jonesboro
25900,Pooled,-9,54467.62102351314,Jonesboro
25900,Hispanic,25,34603.79310344828,Jonesboro
25900,Hispanic,75,58331.53846153846,Jonesboro
25900,AIAN,-9,50952.5,Jonesboro
25900,Hispanic,50,46467.66578249336,Jonesboro
25900,Asian,75,135800,Jonesboro
25900,AIAN,50,50952.5,Jonesboro
25900,White,75,84199.58277254374,Jonesboro
25900,Pooled,75,82146.80196801967,Jonesboro
26001,White,25,67606.07142857143,Roseau
26001,White,-9,86327.06896551725,Roseau
26001,Hispanic,25,47970,Roseau
26001,Pooled,50,82883.1182795699,Roseau
26001,Pooled,25,65402.90322580645,Roseau
26001,White,50,85703.03571428571,Roseau
26001,AIAN,75,48690,Roseau
26001,AIAN,25,22490,Roseau
26001,Pooled,75,100363.3333333333,Roseau
26001,Asian,-9,80460,Roseau
26001,AIAN,-9,35590,Roseau
26001,Asian,75,96860,Roseau
26001,Pooled,-9,83429.375,Roseau
26001,Asian,50,80460,Roseau
26001,Hispanic,75,52440,Roseau
26001,Hispanic,-9,50205,Roseau
26001,Hispanic,50,50205,Roseau
26001,Asian,25,64060,Roseau
26001,White,75,103800,Roseau
26001,AIAN,50,35590,Roseau
26002,White,50,84621.78656878875,Duluth
26002,Hispanic,75,86648.8679245283,Duluth
